ds,y,no_promoted_skus,unique_stores,no_activated_tiers,customer_activation_index,economic_regressor,event
2013-06-10,349754.291978,0,47,22,72.09477756286267,95.82,
2013-06-11,283858.2159925,0,47,22,66.37911025145068,95.5,
2013-06-12,320173.5779987,0,47,22,70.97292069632495,95.98,
2013-06-13,282886.9200452,0,47,22,67.4110251450677,96.66,
2013-06-14,326956.74210719997,0,47,22,73.92069632495165,97.83,
2013-06-15,505950.6668701,0,47,22,99.16924564796905,97.83,
2013-06-16,435894.082881,0,47,21,88.99594731509625,97.83,
2013-06-17,370944.271024,0,47,22,73.72920696324951,97.86,
2013-06-18,320885.3399215,0,47,22,70.77272727272727,98.46,
2013-06-19,319235.25797700003,0,47,22,66.35686653771761,98.24,
2013-06-20,293877.944015,0,47,22,67.68278529980658,94.89,
2013-06-21,319722.6870265,0,47,22,71.29303675048357,93.81,
2013-06-22,446347.312096,0,47,22,85.76499032882012,93.81,
2013-06-23,504964.845142,0,47,21,87.28672745694023,93.81,
2013-06-24,336631.9640383,0,47,22,70.98936170212765,95.07,
2013-06-25,305119.530064,0,47,22,68.22920696324951,95.25,
2013-06-26,301847.2489636,0,47,22,68.67408123791103,95.47,
2013-06-27,266525.458966,0,47,22,65.12572533849129,97.0,
2013-06-28,324210.971803,0,47,22,71.73307543520309,96.36,
2013-06-29,509379.108146,0,47,22,90.45551257253385,96.36,
2013-06-30,533481.693027,0,47,21,88.65349544072949,96.36,
2013-07-01,441758.3880965,0,47,22,79.15860735009672,97.94,
2013-07-02,390958.38408,0,47,22,76.58317214700193,99.65,
2013-07-03,374551.917949,0,47,22,75.857833655706,101.92,
2013-07-04,327020.179028,0,47,22,73.17601547388782,102.505,
2013-07-05,351401.500074,0,47,22,75.15473887814314,103.09,
2013-07-06,479514.493924,0,47,22,89.10251450676982,103.09,
2013-07-07,500606.073078,0,47,21,88.3677811550152,103.09,
2013-07-08,365452.995017,0,46,22,76.54545454545455,103.03,
2013-07-09,317279.1449993,0,46,22,72.17490118577075,103.46,
2013-07-10,314134.886071,0,46,22,72.449604743083,106.41,
2013-07-11,281750.931023,0,46,22,67.84782608695652,104.77,
2013-07-12,308786.438133,0,46,22,72.39229249011858,105.85,
2013-07-13,432569.1022205,0,46,22,87.01877470355731,105.85,
2013-07-14,438722.417857,0,46,21,84.49482401656314,105.85,
2013-07-15,348803.0469486,0,46,22,75.80731225296442,106.2,
2013-07-16,335516.229006,0,46,22,74.85671936758894,105.88,
2013-07-17,324313.8180255,0,46,22,72.98320158102767,106.39,
2013-07-18,287074.8739522,0,46,22,68.57608695652173,107.94,
2013-07-19,313332.555049,0,46,22,72.36264822134387,108.0,
2013-07-20,435497.731013,0,46,22,86.61363636363636,108.0,
2013-07-21,437952.624049,0,46,21,83.64285714285714,108.0,
2013-07-22,342802.29905,0,46,22,74.87252964426878,106.61,
2013-07-23,316257.463107,0,46,22,72.77667984189723,107.13,
2013-07-24,309243.7899995,0,46,22,72.01185770750988,105.41,
2013-07-25,298074.2249247,0,46,22,69.9209486166008,105.47,
2013-07-26,318745.692921,0,46,22,73.38932806324111,104.76,
2013-07-27,423890.5020012,0,46,22,85.60474308300395,104.76,
2013-07-28,433358.6520873,0,46,21,82.5351966873706,104.76,
2013-07-29,331493.2850525,0,46,22,72.04644268774703,104.61,
2013-07-30,318553.989932,0,46,22,71.65217391304348,103.14,
2013-07-31,357982.979012,0,47,22,75.25435203094777,105.1,
2013-08-01,397555.3181021,0,47,22,76.15087040618955,107.93,
2013-08-02,393831.120007,0,47,22,76.52514506769826,106.94,
2013-08-03,516956.846013,0,47,22,90.8375241779497,106.94,
2013-08-04,514267.27594,0,47,21,87.94832826747721,106.94,
2013-08-05,407033.810946,0,47,22,79.38104448742746,106.61,
2013-08-06,357263.854086,0,47,22,75.36460348162475,105.32,
2013-08-07,351302.132003,0,47,22,74.88007736943908,104.41,
2013-08-08,310953.0239315,0,47,22,70.20502901353966,103.45,
2013-08-09,337521.667868,0,47,22,74.81721470019342,106.04,
2013-08-10,434184.94409,0,47,22,82.63442940038685,106.04,First Cry of Independence
2013-08-11,434720.3230013,0,47,21,81.32522796352583,106.04,
2013-08-12,349539.224033,0,47,22,73.80754352030948,106.19,
2013-08-13,317103.331061,0,47,22,72.20502901353966,106.78,
2013-08-14,324377.386893,0,47,22,71.77079303675049,106.89,
2013-08-15,311043.17291,0,47,22,71.77949709864603,107.43,
2013-08-16,364487.3218839,0,47,22,77.04835589941973,107.58,
2013-08-17,448835.3109167,0,47,22,85.9651837524178,107.58,
2013-08-18,464053.7730675,0,47,21,84.34346504559271,107.58,
2013-08-19,362085.52696,0,47,22,74.56479690522244,107.14,
2013-08-20,343046.11398,0,47,22,74.10928433268859,104.9,
2013-08-21,335724.643932,0,47,22,74.09381044487428,103.93,
2013-08-22,306473.26098,0,47,22,68.87814313346229,104.93,
2013-08-23,331906.369098,0,47,22,73.35009671179884,106.48,
2013-08-24,420576.154994,0,47,22,84.6247582205029,106.48,
2013-08-25,443694.093754,0,47,21,83.64539007092199,106.48,
2013-08-26,347159.6410143,0,47,22,73.66827852998065,105.88,
2013-08-27,319688.2190185,0,47,22,71.14893617021276,109.11,
2013-08-28,319322.060993,0,47,22,72.51353965183752,110.17,
2013-08-29,294518.685943,0,47,22,69.53288201160541,108.51,
2013-08-30,354932.930947,0,47,22,75.19245647969052,107.98,
2013-08-31,523631.3811059,0,47,22,93.2301740812379,107.98,
2013-09-01,640406.221875,0,47,21,97.13373860182371,107.98,
2013-09-02,458792.960966,0,47,22,81.61315280464217,108.325,
2013-09-03,397680.420032,0,47,22,77.20889748549322,108.67,
2013-09-04,392565.48591,0,47,22,77.71760154738878,107.29,
2013-09-05,330622.779063,0,47,22,72.24758220502902,108.5,
2013-09-06,335442.247929,0,47,22,72.12669245647969,110.62,
2013-09-07,518584.247,0,47,22,92.69439071566731,110.62,
2013-09-08,560852.005091,0,47,21,95.2532928064843,110.62,
2013-09-09,377151.7070027,0,47,22,74.63152804642166,109.62,
2013-09-10,308074.4658225,0,47,22,70.09961315280464,107.48,
2013-09-11,323124.61885,0,47,22,71.84429400386847,107.65,
2013-09-12,282855.730937,0,47,22,66.22630560928434,108.72,
2013-09-13,319556.942029,0,47,22,70.61798839458415,108.31,
2013-09-14,476364.004996,0,47,22,89.29980657640232,108.31,
2013-09-15,532852.959041,0,47,21,91.60081053698075,108.31,
2013-09-16,373229.840879,0,47,22,74.65087040618955,106.54,
2013-09-17,327282.949966,0,47,22,70.50967117988395,105.36,
2013-09-18,315687.718926,0,47,22,70.12765957446808,108.23,
2013-09-19,279580.372008,0,47,22,64.9990328820116,106.26,
2013-09-20,331846.9039701,0,47,22,71.84235976789168,104.7,
2013-09-21,468298.380896,0,47,22,88.5338491295938,104.7,
2013-09-22,502068.7019007,0,47,21,88.66565349544074,104.7,
2013-09-23,356043.0340047,0,47,22,72.73984526112186,103.62,
2013-09-24,303333.392926,0,47,22,68.0348162475822,103.22,
2013-09-25,312490.104996,0,47,22,69.25822050290135,102.68,
2013-09-26,273057.8798588,0,47,22,64.7137330754352,103.1,
2013-09-27,320246.574024,0,47,22,70.02804642166345,102.86,
2013-09-28,484903.6890081,0,47,22,88.30174081237911,102.86,
2013-09-29,522868.441946,0,47,21,88.41742654508612,102.86,
2013-09-30,367068.4500143,0,47,22,72.00676982591877,102.36,
2013-10-01,436441.034076,0,47,22,78.03675048355899,102.09,
2013-10-02,414455.6550375,0,47,22,77.87234042553192,104.15,
2013-10-03,348933.24703,0,47,22,71.36653771760155,103.29,
2013-10-04,378109.978059,0,47,22,75.59864603481624,103.83,
2013-10-05,540156.625057,0,47,22,94.14410058027079,103.83,
2013-10-06,553031.424016,0,47,21,92.34346504559271,103.83,
2013-10-07,373387.109043,0,47,22,74.74854932301741,103.07,
2013-10-08,326726.7240121,0,47,22,71.3036750483559,103.54,
2013-10-09,322529.418957,0,47,22,70.79883945841392,101.63,Independence of Guayaquil
2013-10-10,305047.0980576,0,47,22,68.90618955512572,103.08,
2013-10-11,402913.849028,0,47,22,78.1798839458414,102.17,Observance Transfer of Guayaquil's Independence
2013-10-12,426379.6909939,0,47,22,82.20793036750483,102.17,
2013-10-13,481781.2559686,0,47,21,84.4549138804458,102.17,
2013-10-14,342694.7209944,0,47,22,70.20212765957447,102.46,
2013-10-15,305242.569986,0,47,22,68.68568665377175,101.15,
2013-10-16,355696.963943,0,47,22,71.47195357833655,102.34,
2013-10-17,312949.412961,0,47,22,68.47775628626692,100.72,
2013-10-18,323327.873107,0,47,22,69.47485493230174,100.87,
2013-10-19,488245.570001,0,47,22,90.14023210831722,100.87,
2013-10-20,537713.5090483,0,47,21,92.41134751773049,100.87,
2013-10-21,348721.327971,0,47,22,71.8926499032882,99.28,
2013-10-22,301641.7850828,0,47,22,67.29303675048357,97.63,
2013-10-23,323105.11598,0,47,22,68.97582205029013,96.9,
2013-10-24,276059.0800025,0,47,22,65.38588007736944,96.65,
2013-10-25,317570.4260338,0,47,22,69.642166344294,97.4,
2013-10-26,452902.363914,0,47,22,86.50967117988395,97.4,
2013-10-27,512891.4830689,0,47,21,87.99594731509625,97.4,
2013-10-28,346941.91396,0,47,22,70.96131528046422,98.74,
2013-10-29,302332.9969864,0,47,22,66.92940038684719,98.29,
2013-10-30,319494.7050373,0,47,22,69.87040618955513,96.81,
2013-10-31,298195.433106,0,47,22,69.20019342359768,96.29,
2013-11-01,403637.232955,0,47,22,76.77466150870406,94.56,
2013-11-02,540615.555037,0,47,22,90.85976789168278,94.56,Day of the Deceased
2013-11-03,602796.556029,0,47,21,92.28470111448834,94.56,Independence of Cuenca
2013-11-04,424314.167046,0,47,22,77.01160541586073,94.58,
2013-11-05,393322.182909,0,47,22,73.84139264990328,93.4,
2013-11-06,386426.9788195,0,47,22,73.64410058027079,94.74,
2013-11-07,346293.3400477,0,47,22,68.27756286266924,94.25,
2013-11-08,358473.978049,0,47,22,72.19148936170212,94.56,
2013-11-09,513850.32307,0,47,22,88.36266924564796,94.56,
2013-11-10,587666.490239,0,47,21,92.8966565349544,94.56,
2013-11-11,374087.890067,0,47,22,72.72147001934236,95.13,
2013-11-12,373277.748034,0,47,22,69.85009671179884,93.12,
2013-11-13,332279.2568851,0,47,22,69.24564796905223,93.91,
2013-11-14,284567.4029707,0,47,22,65.05609284332688,93.76,
2013-11-15,349383.296052,0,47,22,72.34429400386847,93.8,
2013-11-16,524065.5881155,0,47,22,90.97582205029013,93.8,
2013-11-17,579209.228924,0,47,21,91.54711246200608,93.8,
2013-11-18,391945.551999,0,47,22,73.62959381044487,93.03,
2013-11-19,329455.2710234,0,47,22,69.14506769825918,93.35,
2013-11-20,354337.734795,0,47,22,72.53191489361703,93.34,
2013-11-21,298047.047965,0,47,22,66.92263056092844,95.35,
2013-11-22,340734.213038,0,47,22,71.05029013539652,94.53,
2013-11-23,485544.298837,0,47,22,88.18858800773694,94.53,
2013-11-24,550925.293106,0,47,21,88.92705167173253,94.53,
2013-11-25,365965.5090102,0,47,22,71.5338491295938,93.86,
2013-11-26,323292.830024,0,47,22,68.36557059961315,93.41,
2013-11-27,337083.286026,0,47,22,69.21760154738878,92.05,
2013-11-28,305982.981947,0,47,22,67.59767891682786,92.3,
2013-11-29,357000.404165,0,47,22,72.35589941972921,92.55,
2013-11-30,541977.655801,0,47,22,91.20986460348162,92.55,
2013-12-01,698217.128989,0,47,21,98.18642350557244,92.55,
2013-12-02,495488.366984,0,47,22,80.04642166344294,93.61,
2013-12-03,424438.046973,0,47,22,77.1953578336557,95.83,
2013-12-04,424147.0459855,0,47,22,77.88104448742746,96.97,
2013-12-05,386406.804985,0,47,22,74.91876208897486,97.14,
2013-12-06,432661.755068,0,47,22,78.1073500967118,97.48,
2013-12-07,537181.319801,0,47,22,92.03094777562863,97.48,
2013-12-08,588855.895921,0,47,21,93.35562310030394,97.48,
2013-12-09,442309.3141075,0,47,22,77.63442940038685,97.1,
2013-12-10,414421.695986,0,47,22,76.71760154738878,98.32,
2013-12-11,422957.198908,0,47,22,79.35686653771761,97.25,
2013-12-12,384256.080979,0,47,22,77.41295938104449,97.21,
2013-12-13,434657.0129787,0,47,22,81.77756286266924,96.27,
2013-12-14,554911.917024,0,47,22,98.00773694390716,96.27,
2013-12-15,642015.7758165,0,47,21,103.58561296859169,96.27,
2013-12-16,516060.290853,0,47,22,89.54061895551257,97.18,
2013-12-17,480470.71684249997,0,47,22,91.00870406189556,96.99,
2013-12-18,527481.336925,0,47,22,98.99032882011605,97.59,
2013-12-19,507461.038187,0,47,22,105.67408123791103,98.4,
2013-12-20,544104.2676365,0,47,22,102.74468085106383,99.11,
2013-12-21,685673.07474,0,47,22,117.43230174081238,99.11,Four Days Before Christmas
2013-12-22,696295.146867,0,47,21,120.56433637284701,99.11,Three Days Before Christmas
2013-12-23,792865.284427,0,47,22,141.07930367504835,98.62,Two Days Before Christmas
2013-12-24,620663.290732,0,47,22,150.72147001934235,98.87,Day Before Christmas
2013-12-26,470731.1624137,0,47,22,92.84526112185686,99.18,Day After Christmas
2013-12-27,479314.968043,0,47,22,95.09671179883946,99.94,
2013-12-28,556952.3059789999,0,47,22,99.47582205029013,99.94,
2013-12-29,499719.5049237,0,47,21,89.89766970618034,99.94,
2013-12-30,635134.7358515,0,47,22,113.77659574468085,98.9,
2013-12-31,507264.6630475,0,47,22,113.35976789168278,98.17,Day Before New Year’s Day
2014-01-01,8602.065404,0,2,28,23.696428571428573,96.655,New Year’s Day
2014-01-02,801011.226041,0,47,31,62.26218256691833,95.14,
2014-01-03,680672.845603,0,47,31,57.98764584763212,93.66,
2014-01-04,936628.8866039,0,47,31,69.56829100892244,93.66,
2014-01-05,949618.78894,0,47,30,66.29432624113475,93.66,
2014-01-06,602268.564009,0,47,31,53.38641043239533,93.12,
2014-01-07,563450.5988595,0,47,31,51.723404255319146,93.31,
2014-01-08,636176.853478,0,47,31,52.98833218943034,91.9,
2014-01-09,496377.933414,0,47,31,49.81125600549073,91.36,
2014-01-10,543055.329066,0,47,31,51.682910089224436,92.39,
2014-01-11,787321.455619,0,47,31,64.96980096087852,92.39,
2014-01-12,844633.598917,0,47,30,63.273758865248226,92.39,
2014-01-13,555547.0150185,0,47,31,51.8805765271105,91.45,
2014-01-14,502643.104285,0,47,31,49.22717913520933,92.15,
2014-01-15,567067.469069,0,47,31,51.40974605353466,93.78,
2014-01-16,502789.214207,0,47,31,50.730267673301306,93.54,
2014-01-17,542937.915657,0,47,31,51.82361015785861,93.96,
2014-01-18,786779.8899055,0,47,31,63.72889498970487,93.96,
2014-01-19,851735.334091,0,47,30,62.63333333333333,93.96,
2014-01-20,575850.061871,0,47,31,51.38641043239533,94.235,
2014-01-21,538817.207912,0,47,31,51.052848318462594,94.51,
2014-01-22,553097.596874,0,47,31,49.82841455044612,96.35,
2014-01-23,460789.0398597,0,47,31,47.949897048730264,97.23,
2014-01-24,526124.572256,0,47,31,51.393960192175705,96.66,
2014-01-25,733880.979053,0,47,31,61.50926561427591,96.66,
2014-01-26,814057.732862,0,47,30,61.12482269503546,96.66,
2014-01-27,540798.833711,0,47,31,50.674673987645846,95.82,
2014-01-28,481593.435798,0,47,31,49.056280027453674,97.49,
2014-01-29,512853.989922,0,47,31,48.27934111187371,97.34,
2014-01-30,453642.9707033,0,47,31,47.86410432395333,98.25,
2014-01-31,560816.192394,0,47,31,54.537405628002745,97.55,
2014-02-01,648870.19898,0,47,22,97.09574468085107,97.55,
2014-02-02,619805.537102,0,47,21,92.35764944275583,97.55,
2014-02-03,461637.5229585,0,47,22,80.2698259187621,96.44,
2014-02-04,403189.5869763,0,47,22,76.18375241779498,97.24,
2014-02-05,399138.3059075,0,47,22,76.55029013539652,97.4,
2014-02-06,359139.101529,0,47,22,73.0889748549323,97.84,
2014-02-07,389471.568011,0,47,22,76.36170212765957,99.98,
2014-02-08,530128.059914,0,47,22,89.64893617021276,99.98,
2014-02-09,520753.7470746,0,47,21,84.60688956433637,99.98,
2014-02-10,396622.737011,0,47,22,75.61992263056092,100.12,
2014-02-11,358382.7339877,0,47,22,72.76499032882012,99.96,
2014-02-12,387758.393971,0,47,22,76.45164410058027,100.38,
2014-02-13,347373.2985675,0,47,22,80.1953578336557,100.27,
2014-02-14,361206.4069057,0,47,22,89.6237911025145,100.31,
2014-02-15,538893.357859,0,47,22,90.11121856866538,100.31,
2014-02-16,595300.23508,0,47,21,89.39412360688956,100.31,
2014-02-17,412029.2879535,0,47,22,74.19825918762089,101.42500000000001,
2014-02-18,365331.247942,0,47,22,71.02321083172147,102.54,
2014-02-19,360161.6390075,0,47,22,71.09671179883946,103.46,
2014-02-20,322451.9201135,0,47,22,68.68858800773694,103.2,
2014-02-21,369403.653633,0,47,21,76.16210739614995,102.53,
2014-02-22,538206.082827,0,47,21,94.31813576494427,102.53,
2014-02-23,487896.463891,0,47,21,81.47821681864235,102.53,
2014-02-24,404224.188997,0,47,22,74.85589941972921,103.17,
2014-02-25,351418.110084,0,47,22,70.29593810444874,102.2,
2014-02-26,353604.266985,0,47,22,71.6073500967118,102.93,
2014-02-27,330330.185244,0,47,22,70.97678916827853,102.68,
2014-02-28,425624.795466,0,47,22,81.79013539651838,102.88,
2014-03-01,911360.2578707,0,47,32,67.94015957446808,102.88,
